RowNumber;CustomerId;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited;Frecuencia de compra Mes;CantidadcompraPromedio;Compra_MasResalizada
155;15709368;Milne;614;France;Female;43;6;0;2;1;1;109041,53;0;5;42526,1967;3
156;15679145;Chou;706;Spain;Male;57;7;0;1;1;0;17941,16;1;0;3498,5262;3
157;15655007;Li;758;France;Female;33;7;0;2;0;0;82996,47;0;4;5394,77055;12
158;15623595;Clayton;586;Spain;Female;28;2;0;2;1;1;92067,35;0;6;23937,511;15
159;15589975;Maclean;646;France;Female;73;6;97259,25;1;0;1;104719,66;0;3;34033,8895;6
160;15804017;Chigolum;631;Germany;Female;33;4;123246,7;1;0;0;112687,57;0;4;7324,69205;4
161;15692132;Wilkinson;717;Spain;Female;22;6;101060,25;1;0;1;84699,56;0;7;16516,4142;1
162;15641122;Wei;684;France;Male;30;2;0;2;1;0;83473,82;0;4;21703,1932;10
163;15630910;Treacy;800;France;Female;49;7;108007,36;1;0;0;47125,11;0;2;12252,5286;15
164;15680772;Hu;721;Spain;Female;36;2;0;2;1;1;106977,8;0;6;27814,228;10
165;15658929;Taverner;683;Spain;Male;29;0;133702,89;1;1;0;55582,54;1;0;21677,1906;2
166;15585388;Sherman;660;Germany;Male;31;9;125189,75;2;1;1;139874,43;0;5;36367,3518;13
167;15724623;Taubman;704;Germany;Female;24;7;113034,22;1;1;0;162503,48;1;0;63376,3572;9
168;15588537;Robinson;615;Spain;Female;41;9;109013,23;1;1;0;196499,96;0;1;25544,9948;4
169;15574692;Pinto;667;Spain;Female;39;2;0;2;1;0;40721,24;1;0;2646,8806;1
170;15611325;Wood;682;Germany;Male;24;9;57929,81;2;0;0;53134,3;0;4;10361,1885;3
171;15587562;Hawkins;484;France;Female;29;4;130114,39;1;1;0;164017,89;0;4;10661,16285;14
172;15613172;Sun;628;Germany;Male;27;5;95826,49;2;1;0;155996,96;0;4;50699,012;2
173;15651022;Yost;480;Germany;Male;44;10;129608,57;1;1;0;5472,7;1;0;1422,902;7
174;15586310;Ting;578;France;Male;30;4;169462,09;1;1;0;112187,11;0;4;43752,9729;5
175;15625524;Rowe;512;France;Male;40;5;0;2;1;1;146457,83;0;6;38079,0358;1
176;15755209;Fu;484;Spain;Female;35;7;133868,21;1;1;1;27286,1;0;7;5320,7895;2
177;15645248;Ho;510;France;Female;30;0;0;2;1;1;130553,47;0;7;16971,9511;2
178;15790355;Okechukwu;606;Germany;Male;36;5;190479,48;2;0;0;179351,89;0;4;69947,2371;4
179;15762615;Campbell;597;Spain;Female;40;8;101993,12;1;0;1;94774,12;0;4;36961,9068;7
180;15625426;Ashbolt;754;Germany;Female;55;3;161608,81;1;1;0;8080,85;1;0;2101,021;3
181;15716334;Rozier;850;Spain;Female;45;2;122311,21;1;1;1;19482,5;0;4;6331,8125;15
182;15789669;Hsia;510;France;Male;65;2;0;2;1;1;48071,61;0;5;9373,96395;6
183;15621075;Ogbonnaya;778;Germany;Female;45;1;162150,42;2;1;0;174531,27;0;3;68067,1953;6
184;15810845;T'ang;636;France;Male;42;2;0;2;1;1;55470,78;0;5;10816,8021;15
185;15719377;Cocci;804;France;Female;50;4;0;1;1;1;8546,87;1;0;3333,2793;6
186;15654506;Chang;514;France;Male;32;8;0;2;1;0;95857,18;0;5;6230,7167;3
187;15771977;T'ao;730;France;Female;39;1;99010,67;1;1;0;194945,8;0;2;50685,908;4
188;15708710;Ford;525;Spain;Female;37;0;0;1;0;1;131521,72;0;6;8548,9118;9
189;15726676;Marshall;616;Spain;Male;30;5;0;2;0;1;196108,51;0;6;63735,26575;9
190;15587421;Tsai;687;Germany;Female;34;7;111388,18;2;1;0;148564,76;0;4;48283,547;7
191;15726931;Onwumelu;715;France;Female;41;8;56214,85;2;0;0;92982,61;1;3;12087,7393;1
192;15771086;Graham;512;France;Female;36;3;84327,77;2;1;0;17675,36;0;7;2297,7968;5
193;15756850;Golovanov;479;France;Male;40;1;0;2;0;0;114996,43;0;5;37373,83975;7
194;15702741;Potts;601;France;Male;32;8;93012,89;1;1;0;86957,42;0;3;11304,4646;6
195;15679200;Crawford;580;Spain;Male;29;9;61710,44;2;1;0;128077,8;0;4;33300,228;14
196;15594815;Aleshire;807;France;Male;35;3;174790,15;1;1;1;600,36;0;6;117,0702;2
197;15635905;Moran;616;Spain;Female;32;6;0;2;1;1;43001,46;0;7;13975,4745;13
198;15777892;Samsonova;721;Germany;Male;37;3;107720,64;1;1;1;158591,12;0;5;10308,4228;4
199;15656176;Jenkins;501;France;Male;57;10;0;2;1;1;47847,19;0;5;6220,1347;4
200;15811127;Volkov;521;France;Male;35;6;96423,84;1;1;0;10488,44;0;5;2726,9944;15
201;15604482;Chiemezie;850;Spain;Male;30;2;141040,01;1;1;1;5978,2;0;5;1165,749;4
202;15622911;Jude;759;France;Male;42;4;105420,18;1;0;1;121409,06;0;4;39457,9445;9
203;15600974;He;516;Spain;Male;50;5;0;1;0;1;146145,93;1;4;56996,9127;12
204;15727868;Onuora;711;France;Female;38;2;129022,06;2;1;1;14374,86;1;0;2803,0977;11
205;15627801;Ginikanwa;512;Spain;Male;33;3;176666,62;1;1;0;94670,77;0;5;6153,60005;15
206;15773039;Ku;550;France;Male;37;3;0;1;1;1;179670,31;0;5;35035,71045;5
207;15755262;McDonald;608;Spain;Female;41;3;89763,84;1;0;0;199304,74;1;2;12954,8081;12
208;15679531;Collins;618;France;Male;34;5;134954,53;1;1;1;151954,39;0;5;19754,0707;3
209;15684181;Hackett;643;France;Male;45;5;0;1;1;0;142513,5;1;0;55580,265;11
210;15612087;Dike;671;France;Male;45;2;106376,85;1;0;1;158264,62;0;4;61723,2018;8
211;15752047;Trevisano;689;Germany;Male;33;2;161814,64;2;1;0;169381,9;0;4;33029,4705;1
212;15624592;Tan;603;France;Male;31;8;0;2;1;1;169915,02;0;5;66266,8578;4
213;15573152;Glassman;620;France;Female;41;9;0;2;0;0;88852,47;0;3;34652,4633;7
214;15594917;Miller;676;France;Female;34;1;63095,01;1;1;1;40645,81;0;6;15851,8659;14
215;15785542;Kornilova;572;Germany;Male;26;4;118287,01;2;0;0;60427,3;0;5;15711,098;6
216;15723488;Watson;668;Germany;Male;47;7;106854,21;1;0;1;157959,02;1;4;61604,0178;15
217;15680920;Marchesi;695;France;Male;46;7;49512,55;1;1;0;133007,34;0;2;8645,4771;9
218;15786308;Millar;730;Spain;Female;33;9;0;2;0;0;176576,62;0;3;57387,4015;4
219;15659366;Shih;807;France;Male;43;1;105799,32;2;1;0;34888,04;1;0;6803,1678;3
220;15774854;Fuller;592;France;Male;54;8;0;1;1;1;28737,71;1;0;9339,75575;2
221;15725311;Hay;726;France;Female;31;9;114722,05;2;1;1;98178,57;0;6;12763,2141;14
222;15787155;Yang;514;Spain;Male;30;7;0;1;0;1;125010,24;0;6;48753,9936;15
223;15727829;McIntyre;567;France;Male;42;2;0;2;1;1;167984,61;0;5;21837,9993;12
224;15733247;Stevenson;850;France;Male;33;10;0;1;1;0;4861,72;1;0;1896,0708;12
225;15568748;Poole;671;Germany;Male;45;6;99564,22;1;1;1;108872,45;1;0;42460,2555;7
226;15699029;Bagley;670;France;Male;37;4;170557,91;2;1;0;198252,88;0;4;12886,4372;15
227;15774393;Ch'ien;694;France;Female;30;9;0;2;1;1;26960,31;0;6;3504,8403;2
228;15676895;Cattaneo;547;Germany;Female;39;6;74596,15;3;1;1;85746,52;1;0;11147,0476;1
229;15637753;O'Sullivan;751;Germany;Male;50;2;96888,39;1;1;0;77206,25;1;0;5018,40625;11
230;15605461;Lucas;594;Germany;Female;29;3;130830,22;1;1;0;61048,53;0;4;3968,15445;9
231;15808473;Ringrose;673;France;Male;72;1;0;2;0;1;111981,19;0;5;7278,77735;10
232;15627000;Freeman;610;France;Male;40;0;0;2;1;0;62232,6;0;4;24270,714;10
233;15787174;Sergeyev;512;France;Female;37;1;0;2;0;1;156105,03;0;7;40587,3078;5
234;15723886;Fiore;767;Germany;Male;20;3;119714,25;2;0;1;150135,38;0;8;58552,7982;8
235;15704769;Smith;585;France;Female;67;5;113978,97;2;0;1;93146,11;0;5;24217,9886;9
236;15772896;Dumetochukwu;763;Germany;Male;42;6;100160,75;1;1;0;33462,94;1;0;13050,5466;11
237;15711540;Pacheco;712;France;Female;29;2;0;1;1;1;144375;0;5;46921,875;9
238;15764866;Synnot;539;Germany;Female;43;3;116220,5;3;1;0;55803,96;1;0;21763,5444;14
239;15794056;Johnston;668;France;Female;46;2;0;3;1;0;89048,46;1;0;17364,4497;7
240;15795149;Stevens;703;France;Male;28;2;81173,83;2;0;1;162812,16;0;6;42331,1616;1
241;15812009;Grant;662;Spain;Male;38;4;0;2;1;0;136259,65;0;4;53141,2635;8
242;15651001;Tsao;725;Germany;Female;39;5;116803,8;1;1;0;124052,97;0;4;40317,21525;6
243;15813844;Barnes;703;France;Male;37;8;105961,68;2;0;1;74158,8;0;6;19281,288;9
244;15596175;McIntosh;659;Germany;Male;67;6;117411,6;1;1;1;45071,09;1;0;2929,62085;10
245;15576269;Madison;523;Spain;Male;34;7;0;2;1;0;62030,06;0;5;4031,9539;11
246;15797219;Ifesinachi;635;France;Female;40;10;123497,58;1;1;0;131953,23;1;0;8576,95995;9
247;15685500;Glazkov;772;Germany;Male;26;7;152400,51;2;1;0;79414;0;4;10323,82;7
248;15599792;Dimauro;545;France;Female;26;1;0;2;1;1;199638,56;0;7;64882,532;13
249;15657566;Wieck;634;Germany;Male;24;8;103097,85;1;1;1;157577,29;0;4;40970,0954;15
250;15772423;Liao;739;Germany;Male;54;8;126418,14;1;1;0;134420,75;1;0;43686,74375;7
251;15628112;Hughes;771;Germany;Female;36;5;77846,9;1;0;0;99805,99;0;3;19462,16805;15
252;15753754;Morrison;587;Spain;Female;34;1;0;2;1;1;97932,68;0;7;6365,6242;10
253;15793726;Matveyeva;681;France;Female;79;0;0;2;0;1;170968,99;0;4;55564,92175;8
254;15694717;Ku;544;Germany;Male;37;2;79731,91;1;1;1;57558,95;0;6;22447,9905;11
255;15665834;Cheatham;696;Spain;Male;28;8;0;1;0;0;176713,47;0;2;45945,5022;15
256;15765297;Yao;766;Spain;Male;41;0;0;2;0;1;34283,23;0;6;2228,40995;12
257;15636684;Kirkland;727;France;Male;34;10;0;2;1;1;198637,34;0;5;77468,5626;7
258;15592979;Rose;671;Germany;Female;34;6;37266,67;2;0;0;156917,12;0;4;50998,064;5
259;15750803;Jess;693;France;Female;30;6;127992,25;1;1;1;50457,2;0;5;6559,436;2
260;15607178;Welch;850;Germany;Male;38;3;54901,01;1;1;1;140075,55;0;4;18209,8215;12
261;15713853;Ifeajuna;732;Germany;Male;42;9;108748,08;2;1;1;65323,11;0;4;4246,00215;3
262;15673481;Morton;726;Spain;Female;48;6;99906,19;1;1;0;64323,24;0;2;8362,0212;3
263;15686776;Rossi;557;France;Female;32;6;184686,41;2;1;0;14956,44;0;5;1944,3372;5
264;15673693;Reppert;682;France;Female;26;0;110654,02;1;0;1;111879,21;0;6;36360,74325;10
265;15700696;Kang;738;Spain;Male;31;9;79019,8;1;1;1;18606,23;0;5;2418,8099;9
266;15813163;Ch'iu;531;Spain;Female;36;9;99240,51;1;1;0;123137,01;0;4;32015,6226;11
267;15653857;Wallis;498;France;Male;34;2;0;2;1;1;148528,24;0;7;57926,0136;15
268;15777076;Clark;651;France;Male;36;7;0;2;1;0;13898,31;0;5;1806,7803;3
269;15717398;Fielding;549;Spain;Female;39;7;0;1;0;0;81259,25;1;4;15845,55375;4
270;15799217;Zetticci;791;Germany;Female;35;7;52436,2;1;1;0;161051,75;0;2;52341,81875;10
271;15787071;Dulhunty;650;Spain;Male;41;9;0;2;0;1;191599,67;0;4;24907,9571;10
272;15619955;Bevington;733;Germany;Male;34;3;100337,96;3;1;0;48559,19;1;0;6312,6947;15
273;15796505;Boyle;811;Germany;Female;34;1;149297,19;2;1;1;186339,74;0;6;24224,1662;5
274;15725166;Newton;707;France;Male;30;8;0;2;1;0;33159,37;0;4;12932,1543;14
275;15800116;Bowman;712;Germany;Male;28;4;145605,44;1;0;1;93883,53;0;6;12204,8589;10
