RowNumber;CustomerId;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited;Frecuencia de compra Mes;CantidadcompraPromedio;Compra_MasResalizada;#¿NOMBRE?;puede acceder;es activo ;Salario Estimado;Numero De producto;Score;Ternuere;Edad;Suma;75%Salary;;;;;;;;;;;;;;;;;;
23;15699309;Gerasimov;510;Spain;Female;38;4;0;1;1;0;118913,53;1;0;15458,7589;11;FALSO;1;1;3;1,00;3,5;3;3;15,5;77293,7945;;;;;;;;;;Desviación estándar;57510,49282;;Mediana;5;;;;
24;15725737;Mosman;669;France;Male;46;3;0;2;0;1;8487,75;0;7;2758,51875;10;VERDADERO;0;3;4;2,00;2,5;3;2;16,5;5517,0375;;;;;;;;;;Varianza de la muestra;3307456784;;Moda;2;;;;
25;15625047;Yen;846;France;Female;38;5;0;1;1;1;187616,16;0;5;60975,252;6;VERDADERO;0;3;2,5;1,00;2;3;3;14,5;121950,504;;;;;;;;;;Curtosis;-1,181518447;;Desviación estándar;2,892174377;;;;
26;15738191;Maclean;577;France;Male;25;3;0;2;0;1;124508,29;0;7;32372,1554;11;VERDADERO;0;3;3;2,00;2,5;3;3;16,5;80930,3885;;;;;;;;;;Coeficiente de asimetría;0,002085358;;Varianza de la muestra;8,364672627;;;;
27;15736816;Young;756;Germany;Male;36;2;136815,64;1;1;1;170041,95;0;4;44210,907;3;VERDADERO;0;3;2,5;1,00;2;2,5;3;14;110527,2675;;;;;;;;;;Rango;199980,9;;Curtosis;-1,165225227;;;;
28;15700772;Nebechi;571;France;Male;44;9;0;2;0;0;38433,35;0;3;9992,671;13;VERDADERO;0;1;3,5;2,00;2,5;2;2;13;24981,6775;;;;;;;;;;Mínimo;11,58;;Coeficiente de asimetría;0,010991458;;;;
29;15728693;McWilliams;574;Germany;Female;43;3;141349,43;1;1;1;100187,43;0;5;26048,7318;12;VERDADERO;0;3;3;1,00;2,5;3;2;14,5;65121,8295;;;;;;;;;;Máximo;199992,48;;Rango;10;;;;
30;15656300;Lucciano;411;France;Male;29;0;59697,17;2;1;1;53483,21;0;7;20858,4519;6;VERDADERO;0;3;3;2,00;3;3;3;17;34764,0865;;;;;;;;;;Suma;1000902399;;Mínimo;0;;;;
31;15589475;Azikiwe;591;Spain;Female;39;3;0;3;1;0;140469,38;1;0;36522,0388;13;FALSO;1;1;2,5;3,00;2,5;3;3;16;91305,097;;;;;;;;;;Cuenta;10000;;Máximo;10;;;;
32;15706552;Odinakachukwu;533;France;Male;36;7;85311,7;1;0;1;156731,91;0;6;30562,72245;7;VERDADERO;0;3;2,5;1,00;3,5;2,5;3;15,5;101875,7415;;;;;;;;;;;;;Suma;50128;;;;
33;15750181;Sanderson;553;Germany;Male;41;9;110112,54;2;0;0;81898,81;0;3;21293,6906;8;VERDADERO;0;1;3;2,00;2,5;2;2;12,5;53234,2265;;;;;;;;;;;;;Cuenta;10000;;;;
34;15659428;Maggard;520;Spain;Female;42;6;0;2;1;1;34410,55;0;7;11183,42875;8;VERDADERO;0;3;3,5;2,00;3,5;2,5;2;16,5;22366,8575;;;;;;;;;;;;;;;;;;
35;15732963;Clements;722;Spain;Female;29;9;0;2;1;1;142033,07;0;5;36928,5982;6;VERDADERO;0;3;2,5;2,00;2,5;2;3;15;92321,4955;;;;;;;;;;;;;;;;;;
36;15794171;Lombardo;475;France;Female;45;0;134264,04;1;1;0;27822,99;1;0;5425,48305;15;FALSO;1;1;3,5;1,00;3,5;3;2;15;18084,9435;;;;;;;;;;;;;;;;;;
37;15788448;Watson;490;Spain;Male;31;3;145260,23;1;0;1;114066,77;0;7;29657,3602;12;VERDADERO;0;3;3;1,00;3,5;3;3;16,5;74143,4005;;;;;;;;;;;;;;;;;;
38;15729599;Lorenzo;804;Spain;Male;33;7;76548,6;1;0;1;98453,45;0;5;31997,37125;14;VERDADERO;0;3;3;1,00;2;2,5;3;14,5;63994,7425;;;;;;;;;;;;;;;;;;
39;15717426;Armstrong;850;France;Male;36;7;0;1;1;1;40812,9;0;4;2652,8385;2;VERDADERO;0;3;3,5;1,00;1;2,5;3;14;26528,385;;;;;;;;;;;;;;;;;;
40;15585768;Cameron;582;Germany;Male;41;6;70349,48;2;0;1;178074,04;0;5;11574,8126;10;VERDADERO;0;3;2,5;2,00;2,5;2,5;2;14,5;115748,126;;;;;;;;;;;;;;;;;;
41;15619360;Hsiao;472;Spain;Male;40;4;0;1;1;0;70154,22;0;4;27360,1458;4;VERDADERO;0;1;3;1,00;3,5;3;2;13,5;45600,243;;;;;;;;;;;;;;;;;;
42;15738148;Clarke;465;France;Female;51;8;122522,32;1;0;0;181297,65;1;1;11784,34725;12;VERDADERO;0;1;2,5;1,00;3,5;2;1;11;117843,4725;;;;;;;;;;;;;;;;;;
43;15687946;Osborne;556;France;Female;61;2;117419,35;1;1;1;94153,83;0;3;24479,9958;2;VERDADERO;0;3;3;1,00;2,5;2,5;1;13;61199,9895;;;;;;;;;;;;;;;;;;
44;15755196;Lavine;834;France;Female;49;2;131394,56;1;0;0;194365,76;1;1;12633,7744;9;VERDADERO;0;1;2;1,00;2;2,5;2;10,5;126337,744;;;;;;;;;;;;;;;;;;
45;15684171;Bianchi;660;Spain;Female;61;5;155931,11;1;1;1;158338,39;0;3;10291,99535;14;VERDADERO;0;3;2,5;1,00;2,5;3;1;13;102919,9535;;;;;;;;;;;;;;;;;;
46;15754849;Tyler;776;Germany;Female;32;4;109421,13;2;1;1;126517,46;0;6;32894,5396;5;VERDADERO;0;3;3;2,00;2;3;3;16;82236,349;;;;;;;;;;;;;;;;;;
47;15602280;Martin;829;Germany;Female;27;9;112045,67;1;1;1;119708,21;1;0;31124,1346;5;FALSO;1;3;3;1,00;2;2;3;15;77810,3365;;;;;;;;;;;;;;;;;;
48;15771573;Okagbue;637;Germany;Female;39;9;137843,8;1;1;1;117622,8;1;0;7645,482;2;FALSO;1;3;3;1,00;2,5;2;3;15,5;76454,82;;;;;;;;;;;;;;;;;;
49;15766205;Yin;550;Germany;Male;38;2;103391,38;1;0;1;90878,13;0;5;11814,1569;6;VERDADERO;0;3;3;1,00;2,5;2,5;3;15;59070,7845;;;;;;;;;;;;;;;;;;
50;15771873;Buccho;776;Germany;Female;37;2;103769,22;2;1;0;194099,12;0;3;75698,6568;5;VERDADERO;0;1;2;2,00;2;2,5;3;12,5;126164,428;;;;;;;;;;;;;;;;;;
51;15616550;Chidiebele;698;Germany;Male;44;10;116363,37;2;1;0;198059,16;0;2;51495,3816;11;VERDADERO;0;1;2;2,00;2,5;2;2;11,5;128738,454;;;;;;;;;;;;;;;;;;
52;15768193;Trevisani;585;Germany;Male;36;5;146050,97;2;0;0;86424,57;0;5;22470,3882;13;VERDADERO;0;1;3;2,00;2,5;3;3;14,5;56175,9705;;;;;;;;;;;;;;;;;;
53;15683553;O'Brien;788;France;Female;33;5;0;2;0;0;116978,19;0;4;30414,3294;14;VERDADERO;0;1;3;2,00;2;3;3;14;76035,8235;;;;;;;;;;;;;;;;;;
54;15702298;Parkhill;655;Germany;Male;41;8;125561,97;1;0;0;164040,94;1;1;53313,3055;2;VERDADERO;0;1;2,5;1,00;2,5;2;2;11;106626,611;;;;;;;;;;;;;;;;;;
55;15569590;Yoo;601;Germany;Male;42;1;98495,72;1;1;0;40014,76;1;0;15605,7564;9;FALSO;1;1;3,5;1,00;2,5;3;2;14;26009,594;;;;;;;;;;;;;;;;;;
56;15760861;Phillipps;619;France;Male;43;1;125211,92;1;1;1;113410,49;0;5;22115,04555;1;VERDADERO;0;3;3;1,00;2,5;3;2;14,5;73716,8185;;;;;;;;;;;;;;;;;;
57;15630053;Tsao;656;France;Male;45;5;127864,4;1;1;0;87107,57;0;3;5661,99205;11;VERDADERO;0;1;3;1,00;2,5;3;2;12,5;56619,9205;;;;;;;;;;;;;;;;;;
58;15647091;Endrizzi;725;Germany;Male;19;0;75888,2;1;0;0;45613,75;0;6;2964,89375;4;VERDADERO;0;1;3;1,00;2,5;3;5;15,5;29648,9375;;;;;;;;;;;;;;;;;;
59;15623944;T'ien;511;Spain;Female;66;4;0;1;1;0;1643,11;1;0;640,8129;6;FALSO;1;1;4;1,00;3,5;3;1;14,5;1068,0215;;;;;;;;;;;;;;;;;;
60;15804771;Velazquez;614;France;Male;51;4;40685,92;1;1;1;46775,28;0;4;18242,3592;8;VERDADERO;0;3;3;1,00;2,5;3;1;13,5;30403,932;;;;;;;;;;;;;;;;;;
61;15651280;Hunter;742;Germany;Male;35;5;136857;1;0;0;84509,57;0;3;27465,61025;6;VERDADERO;0;1;3;1,00;2;3;3;13;54931,2205;;;;;;;;;;;;;;;;;;
62;15773469;Clark;687;Germany;Female;27;9;152328,88;2;0;0;126494,82;0;4;24666,4899;9;VERDADERO;0;1;3;2,00;2,5;2;3;13,5;82221,633;;;;;;;;;;;;;;;;;;
63;15702014;Jeffrey;555;Spain;Male;33;1;56084,69;2;0;0;178798,13;0;4;58109,39225;4;VERDADERO;0;1;2,5;2,00;2,5;3;3;14;116218,7845;;;;;;;;;;;;;;;;;;
64;15751208;Pirozzi;684;Spain;Male;56;8;78707,16;1;1;1;99398,36;0;3;6460,8934;15;VERDADERO;0;3;3;1,00;2,5;2;1;12,5;64608,934;;;;;;;;;;;;;;;;;;
65;15592461;Jackson;603;Germany;Male;26;4;109166,37;1;1;1;92840,67;0;6;12069,2871;13;VERDADERO;0;3;3;1,00;2,5;3;3;15,5;60346,4355;;;;;;;;;;;;;;;;;;
66;15789484;Hammond;751;Germany;Female;36;6;169831,46;2;1;1;27758,36;0;6;1804,2934;7;VERDADERO;0;3;3,5;2,00;2;2,5;3;16;18042,934;;;;;;;;;;;;;;;;;;
67;15696061;Brownless;581;Germany;Female;34;1;101633,04;1;1;0;110431,51;0;4;43068,2889;1;VERDADERO;0;1;3;1,00;2,5;3;3;13,5;71780,4815;;;;;;;;;;;;;;;;;;
68;15641582;Chibugo;735;Germany;Male;43;10;123180,01;2;1;1;196673,28;0;3;63918,816;14;VERDADERO;0;3;2;2,00;2;2;2;13;127837,632;;;;;;;;;;;;;;;;;;
69;15638424;Glauert;661;Germany;Female;35;5;150725,53;2;0;1;113656,85;0;7;29550,781;8;VERDADERO;0;3;3;2,00;2,5;3;3;16,5;73876,9525;;;;;;;;;;;;;;;;;;
70;15755648;Pisano;675;France;Female;21;8;98373,26;1;1;0;18203;0;6;2366,39;13;VERDADERO;0;1;4;1,00;2,5;2;5;15,5;11831,95;;;;;;;;;;;;;;;;;;
71;15703793;Konovalova;738;Germany;Male;58;2;133745,44;4;1;0;28373,86;1;0;3688,6018;3;FALSO;1;1;3,5;4,00;2;2,5;1;15;18443,009;;;;;;;;;;;;;;;;;;
72;15620344;McKee;813;France;Male;29;6;0;1;1;0;33953,87;0;3;8828,0062;2;VERDADERO;0;1;3,5;1,00;2;2,5;3;13;22070,0155;;;;;;;;;;;;;;;;;;
73;15812518;Palermo;657;Spain;Female;37;0;163607,18;1;0;1;44203,55;0;6;14366,15375;5;VERDADERO;0;3;3,5;1,00;2,5;3;3;16;28732,3075;;;;;;;;;;;;;;;;;;
74;15779052;Ballard;604;Germany;Female;25;5;157780,84;2;1;1;58426,81;0;7;7595,4853;5;VERDADERO;0;3;3;2,00;2,5;3;3;16,5;37977,4265;;;;;;;;;;;;;;;;;;
75;15770811;Wallace;519;France;Male;36;9;0;2;0;1;145562,4;0;6;9461,556;5;VERDADERO;0;3;2,5;2,00;3,5;2;3;16;94615,56;;;;;;;;;;;;;;;;;;
76;15780961;Cavenagh;735;France;Female;21;1;178718,19;2;1;0;22388;0;7;8731,32;14;VERDADERO;0;1;3,5;2,00;2;3;5;16,5;14552,2;;;;;;;;;;;;;;;;;;
77;15614049;Hu;664;France;Male;55;8;0;2;1;1;139161,64;0;3;54273,0396;9;VERDADERO;0;3;2,5;2,00;2,5;2;1;13;90455,066;;;;;;;;;;;;;;;;;;
78;15662085;Read;678;France;Female;32;9;0;1;1;1;148210,64;0;4;48168,458;1;VERDADERO;0;3;2,5;1,00;2,5;2;3;14;96336,916;;;;;;;;;;;;;;;;;;
79;15575185;Bushell;757;Spain;Male;33;5;77253,22;1;0;1;194239,63;0;4;12625,57595;9;VERDADERO;0;3;2;1,00;2;3;3;14;126255,7595;;;;;;;;;;;;;;;;;;
80;15803136;Postle;416;Germany;Female;41;10;122189,66;2;1;0;98301,61;0;3;19168,81395;7;VERDADERO;0;1;3;2,00;3;2;2;13;63896,0465;;;;;;;;;;;;;;;;;;
81;15706021;Buley;665;France;Female;34;1;96645,54;2;0;0;171413,66;0;4;33425,6637;6;VERDADERO;0;1;2,5;2,00;2,5;3;3;14;111418,879;;;;;;;;;;;;;;;;;;
82;15663706;Leonard;777;France;Female;32;2;0;1;1;0;136458,19;1;0;26609,34705;14;FALSO;1;1;2,5;1,00;2;2,5;3;13;88697,8235;;;;;;;;;;;;;;;;;;
83;15641732;Mills;543;France;Female;36;3;0;2;0;0;26019,59;0;6;10147,6401;6;VERDADERO;0;1;3,5;2,00;3,5;3;3;16;16912,7335;;;;;;;;;;;;;;;;;;
84;15701164;Onyeorulu;506;France;Female;34;4;90307,62;1;1;1;159235,29;0;6;10350,29385;5;VERDADERO;0;3;2,5;1,00;3,5;3;3;16;103502,9385;;;;;;;;;;;;;;;;;;
85;15738751;Beit;493;France;Female;46;4;0;2;1;0;1907,66;0;6;247,9958;2;VERDADERO;0;1;4;2,00;3,5;3;2;15,5;1239,979;;;;;;;;;;;;;;;;;;
86;15805254;Ndukaku;652;Spain;Female;75;10;0;2;1;1;114675,75;0;4;7453,92375;11;VERDADERO;0;3;3;2,00;2,5;2;1;13,5;74539,2375;;;;;;;;;;;;;;;;;;
87;15762418;Gant;750;Spain;Male;22;3;121681,82;1;1;0;128643,35;1;0;25085,45325;3;FALSO;1;1;3;1,00;2;3;5;16;83618,1775;;;;;;;;;;;;;;;;;;
88;15625759;Rowley;729;France;Male;30;9;0;2;1;0;151869,35;0;3;49357,53875;7;VERDADERO;0;1;2,5;2,00;2,5;2;3;13;98715,0775;;;;;;;;;;;;;;;;;;
89;15622897;Sharpe;646;France;Female;46;4;0;3;1;0;93251,42;1;0;18184,0269;5;FALSO;1;1;3;3,00;2,5;3;2;15,5;60613,423;;;;;;;;;;;;;;;;;;
90;15767954;Osborne;635;Germany;Female;28;3;81623,67;2;1;1;156791,36;0;6;30574,3152;11;VERDADERO;0;3;2,5;2,00;2,5;3;3;16;101914,384;;;;;;;;;;;;;;;;;;
91;15757535;Heap;647;Spain;Female;44;5;0;3;1;1;174205,22;1;0;33970,0179;14;FALSO;1;3;2,5;3,00;2,5;3;2;17;113233,393;;;;;;;;;;;;;;;;;;
92;15731511;Ritchie;808;France;Male;45;7;118626,55;2;1;0;147132,46;0;2;19127,2198;11;VERDADERO;0;1;2,5;2,00;2;2,5;2;12;95636,099;;;;;;;;;;;;;;;;;;
93;15809248;Cole;524;France;Female;36;10;0;2;1;0;109614,57;0;5;14249,8941;15;VERDADERO;0;1;3;2,00;3,5;2;3;14,5;71249,4705;;;;;;;;;;;;;;;;;;
94;15640635;Capon;769;France;Male;29;8;0;2;1;1;172290,61;0;5;67193,3379;4;VERDADERO;0;3;2,5;2,00;2;2;3;14,5;111988,8965;;;;;;;;;;;;;;;;;;
95;15676966;Capon;730;Spain;Male;42;4;0;2;0;1;85982,47;0;5;33533,1633;8;VERDADERO;0;3;3;2,00;2;3;2;15;55888,6055;;;;;;;;;;;;;;;;;;
96;15699461;Fiorentini;515;Spain;Male;35;10;176273,95;1;0;1;121277,78;0;6;47298,3342;14;VERDADERO;0;3;3;1,00;3,5;2;3;15,5;78830,557;;;;;;;;;;;;;;;;;;
97;15738721;Graham;773;Spain;Male;41;9;102827,44;1;0;1;64595,25;0;3;12596,07375;15;VERDADERO;0;3;3;1,00;2;2;2;13;41986,9125;;;;;;;;;;;;;;;;;;
98;15693683;Yuille;814;Germany;Male;29;8;97086,4;2;1;1;197276,13;0;4;76937,6907;9;VERDADERO;0;3;2;2,00;2;2;3;14;128229,4845;;;;;;;;;;;;;;;;;;
99;15604348;Allard;710;Spain;Male;22;8;0;2;0;0;99645,04;0;6;19430,7828;12;VERDADERO;0;1;3;2,00;2,5;2;5;15,5;64769,276;;;;;;;;;;;;;;;;;;
100;15633059;Fanucci;413;France;Male;34;9;0;2;0;0;6534,18;0;5;424,7217;13;VERDADERO;0;1;4;2,00;3;2;3;15;4247,217;;;;;;;;;;;;;;;;;;
101;15808582;Fu;665;France;Female;40;6;0;1;1;1;161848,03;0;4;10520,12195;11;VERDADERO;0;3;2,5;1,00;2,5;2,5;2;13,5;105201,2195;;;;;;;;;;;;;;;;;;
102;15743192;Hung;623;France;Female;44;6;0;2;0;0;167162,43;0;3;10865,55795;7;VERDADERO;0;1;2,5;2,00;2,5;2,5;2;12,5;108655,5795;;;;;;;;;;;;;;;;;;
103;15580146;Hung;738;France;Male;31;9;82674,15;1;1;0;41970,72;0;3;16368,5808;10;VERDADERO;0;1;3,5;1,00;2;2;3;12,5;27280,968;;;;;;;;;;;;;;;;;;
104;15776605;Bradley;528;Spain;Male;36;7;0;2;1;0;60536,56;0;5;15739,5056;6;VERDADERO;0;1;3;2,00;3,5;2,5;3;15;39348,764;;;;;;;;;;;;;;;;;;
105;15804919;Dunbabin;670;Spain;Female;65;1;0;1;1;1;177655,68;1;0;46190,4768;1;FALSO;1;3;2,5;1,00;2,5;3;1;14;115476,192;;;;;;;;;;;;;;;;;;
106;15613854;Mauldon;622;Spain;Female;46;4;107073,27;2;1;1;30984,59;1;0;6041,99505;1;FALSO;1;3;3,5;2,00;2,5;3;2;17;20139,9835;;;;;;;;;;;;;;;;;;
107;15599195;Stiger;582;Germany;Male;32;1;88938,62;1;1;1;10054,53;0;7;1307,0889;13;VERDADERO;0;3;4;1,00;2,5;3;3;16,5;6535,4445;;;;;;;;;;;;;;;;;;
108;15812878;Parsons;785;Germany;Female;36;2;99806,85;1;0;1;36976,52;0;5;14420,8428;10;VERDADERO;0;3;3,5;1,00;2;2,5;3;15;24034,738;;;;;;;;;;;;;;;;;;
109;15602312;Walkom;605;Spain;Male;33;5;150092,8;1;0;0;71862,79;0;4;28026,4881;8;VERDADERO;0;1;3;1,00;2,5;3;3;13,5;46710,8135;;;;;;;;;;;;;;;;;;
110;15744689;T'ang;479;Germany;Male;35;9;92833,89;1;1;0;99449,86;1;0;32321,2045;15;FALSO;1;1;3;1,00;3,5;2;3;14,5;64642,409;;;;;;;;;;;;;;;;;;
111;15803526;Eremenko;685;Germany;Male;30;3;90536,81;1;0;1;63082,88;0;6;4100,3872;6;VERDADERO;0;3;3;1,00;2,5;3;3;15,5;41003,872;;;;;;;;;;;;;;;;;;
112;15665790;Rowntree;538;Germany;Male;39;7;108055,1;2;1;0;27231,26;0;6;5310,0957;14;VERDADERO;0;1;3,5;2,00;3,5;2,5;3;15,5;17700,319;;;;;;;;;;;;;;;;;;
113;15715951;Thorpe;562;France;Male;42;2;100238,35;1;0;0;86797,41;0;2;11283,6633;8;VERDADERO;0;1;3;1,00;2,5;2,5;2;12;56418,3165;;;;;;;;;;;;;;;;;;
114;15591100;Chiemela;675;Spain;Male;36;9;106190,55;1;0;1;22994,32;0;5;5978,5232;5;VERDADERO;0;3;3,5;1,00;2,5;2;3;15;14946,308;;;;;;;;;;;;;;;;;;
115;15609618;Fanucci;721;Germany;Male;28;9;154475,54;2;0;1;101300,94;1;6;19753,6833;7;VERDADERO;0;3;3;2,00;2,5;2;3;15,5;65845,611;;;;;;;;;;;;;;;;;;
116;15675522;Ko;628;Germany;Female;30;9;132351,29;2;1;1;74169,13;0;6;9641,9869;5;VERDADERO;0;3;3;2,00;2,5;2;3;15,5;48209,9345;;;;;;;;;;;;;;;;;;
117;15705512;Welch;668;Germany;Female;37;6;167864,4;1;1;0;115638,29;0;3;15032,9777;9;VERDADERO;0;1;3;1,00;2,5;2,5;3;13;75164,8885;;;;;;;;;;;;;;;;;;
118;15698028;Duncan;506;France;Female;41;1;0;2;1;0;31766,3;0;5;10324,0475;5;VERDADERO;0;1;3,5;2,00;3,5;3;2;15;20648,095;;;;;;;;;;;;;;;;;;
119;15661670;Chidozie;524;Germany;Female;31;8;107818,63;1;1;0;199725,39;1;0;12982,15035;6;FALSO;1;1;2;1,00;3,5;2;3;13,5;129821,5035;;;;;;;;;;;;;;;;;;
120;15600781;Wu;699;Germany;Male;34;4;185173,81;2;1;0;120834,48;0;5;39271,206;13;VERDADERO;0;1;3;2,00;2,5;3;3;14,5;78542,412;;;;;;;;;;;;;;;;;;
121;15682472;Culbreth;828;France;Male;34;8;129433,34;2;0;0;38131,77;0;4;14871,3903;3;VERDADERO;0;1;3,5;2,00;2;2;3;13,5;24785,6505;;;;;;;;;;;;;;;;;;
122;15580203;Kennedy;674;Spain;Male;39;6;120193,42;1;0;0;100130,95;0;3;6508,51175;15;VERDADERO;0;1;3;1,00;2,5;2,5;3;13;65085,1175;;;;;;;;;;;;;;;;;;
123;15690673;Cameron;656;France;Female;39;6;0;2;1;0;141069,88;0;4;45847,711;5;VERDADERO;0;1;2,5;2,00;2,5;2,5;3;13,5;91695,422;;;;;;;;;;;;;;;;;;
124;15760085;Calabresi;684;Germany;Female;48;10;126384,42;1;1;1;198129,36;0;3;12878,4084;12;VERDADERO;0;3;2;1,00;2,5;2;2;12,5;128784,084;;;;;;;;;;;;;;;;;;
125;15779659;Zetticci;625;France;Female;28;3;0;1;0;0;183646,41;0;3;11937,01665;5;VERDADERO;0;1;2,5;1,00;2,5;3;3;13;119370,1665;;;;;;;;;;;;;;;;;;
